Date,SPY,NSEI,BVSP,IMOEX.ME,IBEX,MXX,XLE,XLF,XLI,XLK,XLV,XLB,XLU,XLRE,XLY,XLP,post_covid
7/10/2017,0.001073378,0.01083005,0.01121698,0.006909486,0.001971607,0.011081007,0.00327537,-0.001198612,0.002908721,0.007245171,-0.001895397,0.006260396,-0.000777078,-0.007915191,0.002127875,-0.006995519,FALSE
7/11/2017,-0.000743036,0.00153397,0.012723159,0.006160441,-0.005763797,-0.002107807,0.005435236,-0.008831805,-0.000871514,0.00216354,-0.00113858,-0.001469242,-0.000583368,-0.001590476,-0.002015785,-0.002774862,FALSE
7/12/2017,0.007486689,0.003065973,0.015606373,0.008607387,0.01059538,0.00591275,0.002783851,0.003220548,0.005507835,0.012882444,0.006813819,0.011514121,0.008520558,0.012968474,0.007593726,0.005542068,FALSE
7/13/2017,0.001678746,0.007672186,0.005260984,0.002820439,0.00922772,0.00312428,0.004007545,0.006010849,-0.000722878,0.001953553,0.000879658,-0.001090743,-0.003477031,0.001884,0.00011104,0.000184224,FALSE
7/14/2017,0.004653423,-0.000541063,0.003950577,0.000397851,-0.000300299,0.003788644,0.005981071,-0.004404456,0.004330345,0.008832614,0.006762091,0.005080656,0.004633283,0.009987511,0.003220344,0.007889127,FALSE
7/17/2017,-0.000122227,0.002989613,-0.003429065,-0.000806141,-0.000366034,0.003318397,-0.001224094,-0.003215416,-0.000576724,0.000175792,-0.003625462,0.001989033,0.004611799,0.002171542,0.002436631,0.001096149,FALSE
7/18/2017,0.00052922,-0.008995588,0.001930296,-0.005835977,-0.011966708,-0.00454113,-0.004756977,-0.001611525,-0.002307761,0.004561482,0.000751229,-0.004163213,0.002871551,-0.001240309,0.004524692,0,FALSE
7/19/2017,0.005399539,0.00734531,-0.002421123,0.002143838,0.00602482,-0.000250155,0.014507189,0.000402864,0.001010303,0.005063166,0.008102019,0.009567684,0.004197097,0.007419106,0.004833213,0.003644157,FALSE
7/20/2017,0.000445354,-0.002660188,-0.003719705,-0.002760111,-0.00220299,0.001119248,-0.003036674,-0.000402864,-0.005643701,0.002087809,0.006558259,-0.007393504,0.007207874,-0.002775831,-0.002084402,0.000181879,FALSE
7/21/2017,-0.000890901,0.004239852,-0.003919093,-0.01104453,-0.013167507,0.008187866,-0.0099335,0,-0.001888226,-0.001217314,-0.001110855,0.000181094,0.00715636,0.001851223,0.000658769,0.001635232,FALSE
7/24/2017,-0.000243028,0.005145499,0.006410673,0.003432827,0.001906798,0.001957321,-0.001844963,0.00442554,-0.002183549,0.002432944,-0.000370183,-0.000905411,-0.009426835,-0.00061688,-0.003407579,-0.003273206,FALSE
7/25/2017,0.002428202,-0.0001857,0.008687195,-0.004160328,0.007334392,0.000923407,0.01253827,0.012368328,-0.001311949,-0.001911051,-0.007190019,0.010629954,-0.0056992,0,0.007022425,0.006897889,FALSE
7/26/2017,4.02E-05,0.005614228,-0.010055258,0.00485892,0.0049292,-0.002189783,0.001063111,-0.006763451,0.001311949,0.003818901,-0.003364539,-0.006111907,0.009480482,0.008293799,-0.000437724,-0.000180861,FALSE
7/27/2017,-0.000930138,-1.00E-05,0.004083267,0.00619875,0.002644155,-0.006667539,0.010119086,-0.005604877,-0.005698712,-0.003818901,-0.006889222,-0.003612636,0.002450373,-0.000918049,0.007302179,0.009722799,FALSE
